MaizeGDB: Details of Map Genetic 2
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
cl35118_-1a	73.86		GRMZM2G094792	Chr2	43247276	43251834	Zm00001d003438	Chr2	44457553	44459430	Zm00001eb080920	chr2	44432105	44436689																																	
pme25	73.90		GRMZM2G393762	Chr2	43261892	43265662	Zm00001d003439	Chr2	44471631	44475463																																					
IDP2449	73.94		GRMZM2G065073	Chr2	43413625	43421139	Zm00001d003446	Chr2	44617641	44625098	Zm00001eb080950	chr2	44591913	44599675																																	
umc2667	73.94		GRMZM2G065171	Chr2	43429634	43434223	Zm00001d003448	Chr2	44633731	44639141	Zm00001eb080970	chr2	44608178	44613709																																	
eil7	73.94		GRMZM2G044322	Chr2	43586438	43588329	Zm00001d003451	Chr2	44789073	44790671	Zm00001eb081010	chr2	44763423	44765299																																	
dnaJ21	73.95		GRMZM2G071996	Chr2	43811177	43814335	Zm00001d003459	Chr2	45018395	45021399	Zm00001eb081060	chr2	44992898	44996063																																	
pco143041	73.95		GRMZM2G071768	Chr2	43816991	43826467	Zm00001d003460	Chr2	45024147	45033628	Zm00001eb081070	chr2	44998629	45008425																																	
C4J9R0	73.95		GRMZM2G018275	Chr2	43746150	43747663	Zm00001d003457	Chr2	44953548	44954798	Zm00001eb081030	chr2	44927976	44929393																																	
umc2251	73.96		GRMZM2G071714	Chr2	43828944	43831723	Zm00001d003462	Chr2	45036162	45039212	Zm00001eb081090	chr2	45010667	45013775																																	
csu334	73.97		GRMZM2G092107	Chr2	43968330	43974685	Zm00001d003464	Chr2	45202980	45209348	Zm00001eb081110	chr2	45161668	45168163																																	
stp10	73.97		GRMZM2G442523	Chr2	43999018	44004551	Zm00001d003468	Chr2	45234206	45238299	Zm00001eb081120	chr2	45192719	45197097																																	
stp13	73.97		GRMZM2G442546	Chr2	44003822	44007551	Zm00001d003469	Chr2	45238738	45242608	Zm00001eb081130	chr2	45197234	45201458																																	
gpm119	73.98		GRMZM2G031028	Chr2	44056951	44062636	Zm00001d003470	Chr2	45281416	45286675	Zm00001eb081140	chr2	45240056	45245307																																	
stp6	73.99		GRMZM5G843141	Chr2	44063227	44069730	Zm00001d003471	Chr2	45287341	45292164	Zm00001eb081160	chr2	45249699	45250735																																	
stp9	73.99		GRMZM5G831135	Chr2	44108912	44110078	Zm00001d003473	Chr2	45338050	45343157	Zm00001eb081170	chr2	45298320	45302107																																	
cry2	74.00		GRMZM2G049549	Chr2	44186481	44190062	Zm00001d003477	Chr2	45426581	45430349	Zm00001eb081200	chr2	45385193	45389006																																	
ubp9	74.00		GRMZM2G049568	Chr2	44178108	44186133	Zm00001d003476	Chr2	45418320	45425555	Zm00001eb081190	chr2	45376964	45385010																																	
umc2249	74.08		GRMZM2G171296	Chr2	44262352	44262845	Zm00001d003482	Chr2	45486187	45486462																																					
LOC100281699	74.10		GRMZM2G009125	Chr2	44336664	44339115	Zm00001d003483	Chr2	45547626	45549695	Zm00001eb081210	chr2	45506320	45508428																																	
LOC100501354	74.14		GRMZM5G870067	Chr2	44463379	44465215	Zm00001d003488	Chr2	45756536	45758354	Zm00001eb081230	chr2	45701694	45703531																																	
si496036g01	74.50		GRMZM2G024119	Chr2	44642229	44663882	Zm00001d003491	Chr2	45881348	45890062	Zm00001eb081250	chr2	45826488	45835324																																	
anph1	74.80		GRMZM2G145758	Chr2	44796341	44798676	Zm00001d003493	Chr2	46024387	46026629	Zm00001eb081270	chr2	45969553	45971842																																	
GRMZM2G470882	74.81		GRMZM2G470882	Chr2	44816282	44817999	Zm00001d003494	Chr2	46044776	46046493	Zm00001eb081280	chr2	45990156	45991716																																	
si605009c05a	74.82										Zm00001eb081290	chr2	45993016	45999062																																	
mybr105	74.90		GRMZM2G471039	Chr2	44822275	44823668	Zm00001d003496	Chr2	46050675	46052185	Zm00001eb081300	chr2	45995868	45997304																																	
GRMZM2G171254	74.91		GRMZM2G171254	Chr2	44819317	44831256	Zm00001d003495	Chr2	46044805	46059398	Zm00001eb081310	chr2	46000629	46001889																																	
ring110	74.93		GRMZM2G171277	Chr2	44829393	44831128	Zm00001d003497	Chr2	46058114	46059373	Zm00001eb081320	chr2	46002271	46005292																																	
ring111	74.93		GRMZM2G160966	Chr2	44889374	44890968	Zm00001d003499	Chr2	46118394	46119560	Zm00001eb081330	chr2	46063147	46065184																																	
LOC100282410	74.94		GRMZM2G167262	Chr2	44927543	44933362	Zm00001d003502	Chr2	46156330	46162045	Zm00001eb081370	chr2	46101548	46107263																																	
ppr106	74.94		GRMZM2G160994	Chr2	44891277	44893761	Zm00001d003500	Chr2	46120248	46122764	Zm00001eb081350	chr2	46065253	46067983																																	
prh111	74.95		GRMZM2G015610	Chr2	45015248	45020391	Zm00001d003509	Chr2	46242467	46247628	Zm00001eb081430	chr2	46187668	46192641																																	
fut2	74.97		GRMZM2G127184	Chr2	45063206	45065186	Zm00001d003510	Chr2	46290523	46292310	Zm00001eb081440	chr2	46235545	46237787																																	
LOC103646382	74.99		GRMZM2G127173	Chr2	45065294	45068026	Zm00001d003511	Chr2	46292459	46295172	Zm00001eb081450	chr2	46237772	46240437																																	
T2-9b(2)	75.00																																														
zep1	75.00		GRMZM2G127139	Chr2	45068944	45077882	Zm00001d003513	Chr2	46304266	46305156	Zm00001eb081470	chr2	46245692	46246490																																	
GRMZM2G062559	75.01		GRMZM2G062559	Chr2	45100268	45102857	Zm00001d003515	Chr2	46328464	46330364	Zm00001eb081480	chr2	46273740	46275698																																	
si660019c07	75.04		GRMZM2G046402	Chr2	45181647	45190784	Zm00001d003518	Chr2	46383763	46392581	Zm00001eb081510	chr2	46328883	46338027																																	
ofp8	75.20		GRMZM2G053985	Chr2	45347688	45348600	Zm00001d003521	Chr2	46609159	46609809	Zm00001eb081540	chr2	46545338	46555087																																	
gad2	75.22		GRMZM2G355906	Chr2	45349199	45380559	Zm00001d003522	Chr2	46610469	46612649	Zm00001eb081550	chr2	46555608	46558022																																	
dmas4	75.24		GRMZM2G126062	Chr2	45424522	45427038	Zm00001d003524	Chr2	46658256	46660165	Zm00001eb081570	chr2	46603332	46605515																																	
dmas2	75.25		GRMZM2G051355	Chr2	45483525	45490140	Zm00001d003525	Chr2	46712428	46719121	Zm00001eb081580	chr2	46657772	46664387																																	
IDP8511	75.26		GRMZM2G408038	Chr2	45569743	45573549	Zm00001d003530	Chr2	46804411	46806881	Zm00001eb081590	chr2	46749618	46753776																																	
gad5	75.27		GRMZM2G101069	Chr2	45619967	45622893	Zm00001d003531	Chr2	46841603	46844075	Zm00001eb081600	chr2	46786871	46789431																																	
ts1	75.30		GRMZM2G104843	Chr2	45820737	45825105	Zm00001d003533	Chr2	47105187	47109372	Zm00001eb081610	chr2	47030447	47035081																																	
dek37	75.30		GRMZM2G021319	Chr2	46383687	46387603	Zm00001d003543	Chr2	47658250	47659893	Zm00001eb081680	chr2	47570358	47578628																																	
LOC100280518	75.32		GRMZM2G021464	Chr2	46399656	46407712	Zm00001d003546	Chr2	47674141	47682191	Zm00001eb081700	chr2	47586389	47594455																																	
thx15	75.34		GRMZM2G021831	Chr2	46408460	46410063	Zm00001d003549	Chr2	47683309	47684466	Zm00001eb081720	chr2	47595159	47597455																																	
pmei24	75.36		GRMZM2G152141	Chr2	46520175	46521464	Zm00001d003550	Chr2	47790598	47791146	Zm00001eb081730	chr2	47701790	47703041																																	
gras51	75.40		GRMZM2G028608	Chr2	46590168	46592051	Zm00001d003553	Chr2	47859916	47861739	Zm00001eb081760	chr2	47770487	47773701																																	
C0P8J4	75.42		GRMZM2G331701	Chr2	46596633	46597624	Zm00001d003554	Chr2	47866673	47867299	Zm00001eb081770	chr2	47778184	47779308																																	
ank16	75.44		GRMZM2G028258	Chr2	46616759	46621125	Zm00001d003555	Chr2	47886593	47890119	Zm00001eb081780	chr2	47798316	47802673																																	
LOC606453	75.46		GRMZM2G028139	Chr2	46620466	46632064	Zm00001d003556	Chr2	47890233	47901925	Zm00001eb081790	chr2	47801197	47813654																																	
mmp91	75.65																																														
fro2	75.70		GRMZM2G068557	Chr2	46785444	46790374	Zm00001d003559	Chr2	48066763	48071352	Zm00001eb081810	chr2	47978176	48001319																																	
pco142662	75.74		AC206968.3_FG003	Chr2	46974105	46975385	Zm00001d003566	Chr2	48214656	48216669	Zm00001eb081870	chr2	48126197	48132785																																	
Zm00001eb081880	75.76		GRMZM2G019468	Chr2	46972478	46973873	Zm00001d003567	Chr2	48285278	48287291	Zm00001eb081880	chr2	48196829	48203589																																	
mlo3	75.80		GRMZM2G031331	Chr2	47067541	47072637	Zm00001d003569	Chr2	48390876	48396098	Zm00001eb081900	chr2	48302544	48307701																																	
LOC103648617	75.82		GRMZM2G106099	Chr2	47145283	47146933					Zm00001eb081910	chr2	48381263	48381938																																	
cct10	75.90		GRMZM2G106108	Chr2	47146667	47148032	Zm00001d003571	Chr2	48470107	48471478	Zm00001eb081920	chr2	48382057	48383013																																	
GRMZM2G147158	75.91		GRMZM2G147158	Chr2	47153852	47157593	Zm00001d003572	Chr2	48477271	48491185	Zm00001eb081930	chr2	48388882	48402806																																	
ring112	75.93		GRMZM2G028543	Chr2	47380387	47381729	Zm00001d003575	Chr2	48710469	48711552	Zm00001eb081980	chr2	48621818	48623259																																	
nactf71	76.00		GRMZM2G099144	Chr2	47676667	47678102	Zm00001d003583	Chr2	49012079	49013406	Zm00001eb082040	chr2	48923717	48925293																																	
opr5	76.00		GRMZM2G087192	Chr2	47717535	47720768	Zm00001d003584	Chr2	49052848	49056045	Zm00001eb082050	chr2	48964493	48967723																																	
ypt1	76.06		GRMZM2G086971	Chr2	47740882	47746771	Zm00001d003588	Chr2	49077123	49078723	Zm00001eb082060	chr2	48987250	48990338																																	
IDP3942	76.08						Zm00001d003589	Chr2	49078847	49082055	Zm00001eb082070	chr2	48990557	48993738																																	
pza02450	76.10		GRMZM2G005346	Chr2	47788105	47793199	Zm00001d003590	Chr2	49123838	49128914	Zm00001eb082080	chr2	49035325	49040647																																	
Zm00001d003593	76.14		GRMZM2G082149	Chr2	47890605	47891667	Zm00001d003593	Chr2	49227070	49227546	Zm00001eb082100	chr2	49138609	49139611																																	
LOC103648624	76.54		GRMZM2G072955	Chr2	47909062	47910025	Zm00001d003594	Chr2	49246097	49247060	Zm00001eb082120	chr2	49158393	49158743																																	
LOC100217235	76.56		GRMZM2G179827	Chr2	47992349	47995582	Zm00001d003598	Chr2	49332907	49336119	Zm00001eb082130	chr2	49244431	49248089																																	
plt40	76.58		GRMZM2G151021	Chr2	48052056	48054281	Zm00001d003600	Chr2	49392293	49394518	Zm00001eb082140	chr2	49304056	49306286																																	
les10	77.00																																														
abi17	77.00		GRMZM2G017187	Chr2	48136356	48141220	Zm00001d003601	Chr2	49476573	49482029	Zm00001eb082150	chr2	49388328	49393822																																	
cl12292_1a	77.02		GRMZM2G016894	Chr2	48182991	48188659	Zm00001d003602	Chr2	49523237	49528762	Zm00001eb082160	chr2	49434967	49440618																																	
npf26	77.04		GRMZM2G112039	Chr2	48234092	48238269	Zm00001d003603	Chr2	49591583	49595579	Zm00001eb082170	chr2	49503206	49507453																																	
bhlh191	77.06						Zm00001d003604	Chr2	49654568	49655697	Zm00001eb082180	chr2	49564648	49567981																																	
GRMZM2G115395	77.12		GRMZM2G115395	Chr2	48481975	48484157	Zm00001d003607	Chr2	49876647	49878832	Zm00001eb082210	chr2	49788381	49790647																																	
Zm00001d003611	77.14		GRMZM2G380361	Chr2	48730768	48737684	Zm00001d003611	Chr2	50109018	50117538	Zm00001eb082220	chr2	50020714	50029360																																	
LOC100283576	77.16		GRMZM2G053019	Chr2	48742647	48762873	Zm00001d003613	Chr2	50128295	50141133	Zm00001eb082230	chr2	50032684	50052911																																	
IDP1415	77.28		GRMZM2G323844	Chr2	49050749	49054540					Zm00001eb082290	chr2	50386580	50389879																																	
c3h55	77.30		GRMZM2G021834	Chr2	49055623	49060114					Zm00001eb082300	chr2	50392285	50395691																																	
pub6	77.87		GRMZM2G018059	Chr2	49284951	49289701	Zm00001d003621	Chr2	50696420	50706825	Zm00001eb082370	chr2	50608188	50613055																																	
mn7	77.89		GRMZM2G018223	Chr2	49290335	49295336	Zm00001d003621	Chr2	50696420	50706825	Zm00001eb082380	chr2	50613654	50618601																																	
pub69	77.89		GRMZM2G361100	Chr2	49367718	49369676	Zm00001d003624	Chr2	50750672	50751874	Zm00001eb082390	chr2	50662287	50664361																																	
nactf76	77.90		GRMZM2G316840	Chr2	49451938	49453443	Zm00001d003626	Chr2	50875247	50876743	Zm00001eb082430	chr2	50787161	50788572																																	
T1-2(4937)(2)	78.00																																														
rcc2	78.00		GRMZM2G003565	Chr2	49685916	49690865	Zm00001d003632	Chr2	51106489	51111751	Zm00001eb082500	chr2	51018370	51023659																																	
LOC103646432	78.01		AC177831.3_FG004	Chr2	49745576	49748553	Zm00001d003635	Chr2	51165835	51167493	Zm00001eb082510	chr2	51078427	51079434																																	
Zm00001eb082520	78.02										Zm00001eb082520	chr2	51123966	51126104																																	
Zm00001eb082530	78.06		GRMZM2G018245	Chr2	49877443	49878775	Zm00001d003638	Chr2	51302560	51304927	Zm00001eb082530	chr2	51215550	51216805																																	
gst52	78.08		GRMZM2G135935	Chr2	49916542	49918629	Zm00001d003640	Chr2	51340087	51353092	Zm00001eb082540	chr2	51252158	51254244																																	
mir2118b	78.10		zma-MIR2118b	Chr2	49919300	49919417	zma-MIR2118b	Chr2	51342905	51343022																																					
mir2118d	78.11		zma-MIR2118d	Chr2	49919492	49919639	zma-MIR2118d	Chr2	51343097	51343244																																					
mir2118g	78.13		zma-MIR2118g	Chr2	49985342	49985486	zma-MIR2118g	Chr2	51409047	51409191																																					
LOC103646439	78.16		GRMZM5G867831	Chr2	50341638	50343870	Zm00001d003644	Chr2	51528732	51562581	Zm00001eb082570	chr2	51440798	51473990																																	
zhd15	78.20		GRMZM2G089619	Chr2	50140925	50142374	Zm00001d003645	Chr2	51732292	51733194	Zm00001eb082590	chr2	51644165	51645656																																	
apx10	78.20		GRMZM2G120517	Chr2	50350123	50362549	Zm00001d003643	Chr2	51509991	51522514	Zm00001eb082560	chr2	51422049	51435016																																	
phd46	78.38		GRMZM2G357660	Chr2	50542759	50549987	Zm00001d003648	Chr2	51941038	51950006	Zm00001eb082620	chr2	51852864	51861963																																	
IDP200	78.38		GRMZM2G057006	Chr2	50553033	50556814	Zm00001d003649	Chr2	51951526	51956734	Zm00001eb082630	chr2	51863393	51868760																																	
umc2782	78.38		GRMZM2G047705	Chr2	50608097	50613655	Zm00001d003652	Chr2	52004247	52009839	Zm00001eb082660	chr2	51916188	51921900																																	
pdi10	78.38		GRMZM2G113629	Chr2	50618990	50621060	Zm00001d003654	Chr2	52014446	52017333	Zm00001eb082680	chr2	51926418	51929311																																	
NP_001140914.1	78.38		GRMZM2G047512	Chr2	50613935	50617047	Zm00001d003653	Chr2	52010119	52013231	Zm00001eb082670	chr2	51921928	51925375																																	
si707050e05a	78.39		GRMZM2G013283	Chr2	51084524	51138734	Zm00001d003655	Chr2	52478308	52539167	Zm00001eb082690	chr2	52377694	52439505																																	
gras25	78.40		GRMZM2G420280	Chr2	51272702	51274207	Zm00001d003657	Chr2	52665039	52666535	Zm00001eb082700	chr2	52564452	52566236																																	
IDP8426	78.44		GRMZM2G155626	Chr2	51437961	51441208	Zm00001d003658	Chr2	52836039	52839059	Zm00001eb082710	chr2	52735392	52738439																																	
snrkII7	78.45		GRMZM2G155593	Chr2	51441153	51446361	Zm00001d003659	Chr2	52839413	52844416	Zm00001eb082720	chr2	52738797	52743799																																	
IDP7856	78.46		GRMZM2G155150	Chr2	51580464	51646786	Zm00001d003661	Chr2	52987764	52990026	Zm00001eb082740	chr2	52887409	52888054																																	
Zm00001eb082730	78.46		GRMZM2G091717	Chr2	51578942	51580249	Zm00001d003660	Chr2	52986473	52987652	Zm00001eb082730	chr2	52885884	52886812																																	
cl35364_1	78.47		GRMZM2G329885	Chr2	51729634	51734141	Zm00001d003664	Chr2	53140745	53145188	Zm00001eb082760	chr2	53040462	53044657																																	
cl4177_1a	78.47		GRMZM2G035948	Chr2	51726879	51729319	Zm00001d003663	Chr2	53137983	53140425	Zm00001eb082750	chr2	53037444	53039874																																	
mgt7	78.48		GRMZM2G458879	Chr2	51802797	51804523	Zm00001d003666	Chr2	53218426	53220162	Zm00001eb082780	chr2	53119061	53119713																																	
trm3	78.49		GRMZM2G131202	Chr2	51853125	51854807	Zm00001d003667	Chr2	53266869	53273843	Zm00001eb082790	chr2	53166375	53168054																																	
sbt34	78.49		GRMZM2G131177	Chr2	51859923	51862668	Zm00001d003668	Chr2	53273917	53276232	Zm00001eb082810	chr2	53173171	53175873																																	
Zm00001d003669	78.49		GRMZM2G131155	Chr2	51867642	51869628	Zm00001d003669	Chr2	53281649	53283425	Zm00001eb082820	chr2	53180917	53182885																																	
umc1285	78.50		GRMZM2G050861	Chr2	52071373	52075244	Zm00001d003673	Chr2	53484601	53488150	Zm00001eb082860	chr2	53384127	53387772																																	
IDP1496	78.50		GRMZM2G391511	Chr2	52182253	52203880	Zm00001d003675	Chr2	53664164	53668648	Zm00001eb082880	chr2	53563613	53568187																																	
IDP7161	78.50		GRMZM2G050925	Chr2	52066948	52071130	Zm00001d003672	Chr2	53480032	53483738	Zm00001eb082850	chr2	53379526	53383218																																	
Zm00001eb082840	78.50		GRMZM2G078650	Chr2	51957948	51961228	Zm00001d003671	Chr2	53371977	53375140	Zm00001eb082840	chr2	53271404	53274669																																	
bti03811::Ac	78.55																																														
umc1861	78.60																																														
npi242a	78.75																																														
o11	78.80		GRMZM2G147685	Chr2	52437508	52442955	Zm00001d003677	Chr2	53849188	53854880	Zm00001eb082900	chr2	53748710	53754475																																	
